NO,Administrative district,Riverside Park,Location,Type,Remark,Latitude,Longitude,Lat_TWD97,Long_TWD97
N45,士林區,延平河濱公園,7段頭快樂休息站,一般型,,25.092332,121.498125,2776097.128,300243.5114
N46,士林區,延平河濱公園,7段頭快樂休息站,無障礙,,25.092536,121.497913,2776119.645,300222.0443
N47,士林區,福安河濱公園,福安公園,一般型,,25.094776,121.495159,2776366.74,299943.35
N48,士林區,福安河濱公園,福安公園,無障礙,,25.094741,121.495199,2776362.88,299947.4
N49,士林區,福安河濱公園,福安碼頭,一般型,,25.096,121.493861,2776501.84,299811.93
N50,士林區,福安河濱公園,福安碼頭,無障礙,,25.096035,121.493838,2776505.71,299809.6
N51,士林區,福安河濱公園,延平北路7段215號涼亭,一般型,,25.100556,121.48791,2777004.306,299209.8663
N52,士林區,社子島淡水河側,臨7抽水站,一般型,,25.102757,121.483594,2777246.536,298773.6815
N53,士林區,富州河濱公園,富州公園,一般型,,25.105083,121.476444,2777501.61,298051.64
N54,士林區,富州河濱公園,富州公園,無障礙,,25.105158,121.476311,2777509.87,298038.19
N55,士林區,富州河濱公園,社6溼地,一般型,,25.107585,121.469364,2777776.249,297336.6116
N56,士林區,社子島基隆河側,抽水站管制中心,一般型,,25.108806,121.495694,2777920.98,299991.61
N57,士林區,社子島基隆河側,抽水站管制中心,無障礙,,25.10877,121.495704,2777917,299992.63
N58,士林區,社子島基隆河側,社子濕地(頭),一般型,,25.113,121.490528,2778383.635,299468.9107
N59,士林區,社子島基隆河側,社子溼地（尾）,一般型,,25.113254,121.489389,2778411.352,299353.9408
N60,士林區,社子島基隆河側,堤頂觀景休憩亭,一般型,,25.109764,121.476994,2778020.305,298105.276
N61,士林區,社子島基隆河側,東山宮,一般型,,25.109667,121.474333,2778008.62,297836.95
N62,北投區,北投貴子坑溪,豐年福德宮(5/1)增加,無障礙,,25.1351252,121.491249,2780834.63,299532.7
N63,北投區,北投貴子坑溪,豐年福德宮(5/1)增加,一般型,,25.1351252,121.491249,2780834.63,299532.7
N64,北投區,北投貴子坑溪,豐年福德宮(5/1)增加,一般型,,25.1351252,121.491249,2780834.63,299532.7
N65,士林區,雙溪右岸河濱公園,雨農橋下游100公尺(2023/04/30)新增,無障礙,,25.101149,121.533516,2777087.38,303809.44
N66,士林區,雙溪右岸河濱公園,復興橋旁籃球場(2023/04/30)新增,一般型,,25.1008308,121.536416,2777053.3,304102.07
N67,士林區,雙溪右岸河濱公園,復興橋旁籃球場(2023/04/30)新增,一般型,,25.1008308,121.536416,2777053.3,304102.07
N68,北投區,關渡水岸公園,大南汽車對面(2023/5/25)增加,一般型,,25.123174,121.461918,2779500.39,296579.74
N69,北投區,關渡水岸公園,大南汽車對面(2023/5/25)增加,一般型,,25.123174,121.461918,2779500.39,296579.74
N70,北投區,關渡水岸公園,大南汽車對面(2023/5/25)增加,無障礙,,25.123174,121.461918,2779500.39,296579.74
S1,文山區,左岸道南河濱公園,遙控賽車練習場旁,無障礙,,24.999139,121.577917,2765806.55,308335.99
S2,文山區,左岸道南河濱公園,捷運橋下狗運動公園旁,一般型,,24.997611,121.576361,2765636.63,308179.65
S3,文山區,左岸道南河濱公園,捷運橋下游槌球場旁,無障礙,,24.995406,121.573376,2765391.118,307879.3569
S4,文山區,左岸道南河濱公園,捷運橋下游槌球場旁,一般型,,24.993139,121.572694,2765139.72,307811.57
S5,文山區,左岸道南河濱公園,萬壽橋上游壘球場旁,一般型,,24.993118,121.572683,2765137.391,307810.4709
S6,文山區,左岸道南河濱公園,萬壽橋上游越堤階梯旁,一般型,,25.014504,121.499729,2767477.08,300437.14
S7,文山區,左岸道南河濱公園,萬壽橋下,一般型,,24.991567,121.572319,2764965.44,307774.45
S8,文山區,左岸道南河濱公園,萬壽橋下游100公尺廣場旁,無障礙,,24.991611,121.572361,2764970.33,307778.67
S9,文山區,左岸道南河濱公園,政大籃球場旁,一般型,,24.989,121.572111,2764681.016,307754.6524
S10,文山區,左岸道南河濱公園,政大籃球場旁,無障礙,,24.985321,121.572946,2764273.87,307840.67
S11,文山區,左岸道南河濱公園,政大棒球場後方鋼橋旁,無障礙,,24.985306,121.573,2764272.23,307846.13
S12,文山區,左岸道南河濱公園,恒光橋下游烤肉區,一般型,,24.982778,121.572472,2763991.989,307794.0049
S13,文山區,左岸道南河濱公園,恒光橋下游烤肉區,無障礙,,24.980354,121.566624,2763721.02,307204.73
S14,文山區,左岸道南河濱公園,老泉抽水站旁,一般型,,24.980317,121.566723,2763716.96,307214.74
S15,文山區,左岸道南河濱公園,一壽橋上游100公尺處,無障礙,,24.979361,121.559944,2763608.23,306530.77
S16,文山區,右岸道南河濱公園,景3疏散門上游100公尺鋼橋旁,無障礙,,24.976444,121.557028,2763283.91,306237.7
S17,文山區,右岸道南河濱公園,景3疏散門下游200公尺網球場旁,一般型,,24.995241,121.572362,2765372.409,307777.0737
S18,文山區,右岸道南河濱公園,萬壽橋下,一般型,,24.993829,121.571921,2765215.82,307733.2157
S19,文山區,右岸道南河濱公園,萬壽橋下,無障礙,,24.991611,121.571481,2764969.96,307689.83
S20,文山區,右岸道南河濱公園,道南橋上游自行車牽引道旁,一般型,,24.991572,121.571478,2764965.63,307689.55
S21,文山區,右岸道南河濱公園,恒光橋上游約400公尺處網球場旁,一般型,,24.988472,121.571306,2764622.19,307673.63
S22,文山區,右岸道南河濱公園,恒光橋上游約400公尺處網球場旁,一般型,,24.983028,121.570333,2764018.77,307577.94
S23,文山區,右岸道南河濱公園,一壽橋上游100公尺處,一般型,,24.983089,121.570397,2764025.55,307584.37
S24,文山區,右岸道南河濱公園,寶橋下游100公尺,一般型,,24.981472,121.564944,2763844.14,307034.6
S25,文山區,右岸道南河濱公園,寶橋下游實踐抽水站渠道旁,一般型,,24.976962,121.5569,2763341.24,306224.54
S26,文山區,木柵河濱公園,和興水密門自行車牽引道旁,一般型,,24.98075,121.553472,2763759.4,305876.73
S27,文山區,木柵河濱公園,籃球場旁,一般型,,24.983247,121.553861,2764036.14,305914.88
S28,文山區,木柵河濱公園,籃球場旁,無障礙,,24.986528,121.550639,2764398.23,305588.12
S29,文山區,景美河濱公園,北新橋旁下游籃球場旁,一般型,,24.984046,121.545332,2764121.15,305053.46
S30,文山區,景美河濱公園,北新橋旁下游籃球場旁,一般型,,24.984056,121.545389,2764122.28,305059.21
S31,文山區,景美河濱公園,北新橋旁下游籃球場旁,無障礙,,24.988398,121.539456,2764600.83,304458.33
S32,文山區,景美河濱公園,網球場下游自行車道100公尺旁,一般型,,24.988361,121.539361,2764596.69,304448.75
S35,文山區,溪洲河濱公園,第1座(上游側)壘球場旁,無障礙,,24.991972,121.537139,2764995.77,304222.85
S36,文山區,溪洲河濱公園,第1座(上游側)壘球場旁,一般型,,24.996389,121.535278,2765484.28,304033.06
S37,文山區,溪洲河濱公園,第2座(下游側)壘球場旁,一般型,,24.996352,121.53523,2765480.16,304028.23
S38,文山區,溪洲河濱公園,第2座(下游側)壘球場旁,一般型,,25.000694,121.535194,2765961.09,304022.69
S39,文山區,溪洲河濱公園,福和橋上游越堤階梯旁,一般型,,25.00075,121.535203,2765967.29,304023.58
S40,文山區,溪洲河濱公園,福和橋下,一般型,,25.001904,121.535278,2766095.15,304030.64
S41,文山區,溪洲河濱公園,福和橋下,無障礙,,25.008611,121.532861,2766837.08,303783.75
S42,中正區,古亭河濱公園,客家平台花海旁,一般型,,25.008604,121.532879,2766836.32,303785.57
S43,中正區,古亭河濱公園,古亭網球場及籃球場間,一般型,,25.008541,121.532936,2766829.36,303791.35
S44,中正區,古亭河濱公園,古亭網球場及籃球場間,無障礙,,25.01875,121.522556,2767956.08,302739.27
S45,中正區,中正河濱公園,中正網球場及籃球場間,一般型,,25.01975,121.520778,2768066.16,302559.4
S46,中正區,中正河濱公園,中正網球場及籃球場間,一般型,,25.019837,121.520723,2768075.77,302553.81
S47,中正區,中正河濱公園,中正壘球場旁,無障礙,,25.022753,121.515558,2768396.77,302031.3
S48,中正區,中正河濱公園,中正壘球場旁,一般型,,25.023774,121.514159,2768509.322,301889.6752
S49,萬華區,華中河濱公園,華中與馬場町交界水防道路旁,一般型,,25.023581,121.512474,2768487.3,301719.7006
S50,萬華區,華中河濱公園,華中自行車道5.5公里處旁,一般型,,25.023638,121.512495,2768493.621,301721.7961
S51,萬華區,華中河濱公園,華中橋下網球場旁,一般型,,25.01825,121.502306,2767892.97,300695.7
S52,萬華區,華中河濱公園,華中橋下網球場旁,無障礙,,25.015778,121.500667,2767618.55,300531.29
S53,萬華區,華中河濱公園,華中橋下游200公尺水防道路旁,一般型,,25.015361,121.49525,2767570.35,299984.73
S54,萬華區,華中河濱公園,華中網球場停車場後方自行車道旁,一般型,,25.015469,121.495253,2767582.31,299984.99
S34,萬華區,華中河濱公園,華中網球場停車場後方自行車道旁,無障礙,,25.050008,121.505117,2771411.701,300966.2865
S55,萬華區,華中河濱公園,華中足球場水防道路旁,一般型,,25.017139,121.49375,2767766.73,299832.61
S56,萬華區,華中河濱公園,光復橋上游足球場旁,一般型,,25.016464,121.491317,2767691.08,299587.33
S57,萬華區,華中河濱公園,光復橋下,一般型,,25.020756,121.491797,2768166.65,299634.05
S58,萬華區,華中河濱公園,光復橋下,無障礙,,25.021722,121.490944,2768273.34,299547.57
S59,萬華區,華中河濱公園,華翠橋上游羽球場旁,一般型,,25.024222,121.490306,2768550.02,299482.18
S60,萬華區,華中河濱公園,華翠橋下,一般型,,25.024218,121.490256,2768549.56,299477.13
S61,萬華區,雙園河濱公園,萬板橋下游自行車道旁,一般型,,25.031331,121.48745,2769336.4,299191.11
S62,萬華區,雙園河濱公園,華江疏散門堤外停車場內,一般型,,25.033194,121.486833,2769542.54,299128.1
S63,萬華區,雙園河濱公園,華江疏散門堤外停車場內,無障礙,,25.032472,121.488417,2769463.14,299288.24
S64,萬華區,雙園河濱公園,華江橋上游籃球場、網球場間,一般型,,25.033806,121.488361,2769610.88,299282.05
S65,萬華區,雙園河濱公園,華江橋上游棒壘球場旁-,一般型,,25.034637,121.486687,2769702.32,299112.79
S66,萬華區,雙園河濱公園,華江橋上游棒壘球場旁,一般型,,25.034658,121.48663,2769704.62,299107.03
S67,萬華區,雙園河濱公園,華江橋上游棒壘球場旁,無障礙,,25.034689,121.486588,2769708.04,299102.78
S68,萬華區,雙園河濱公園,華江橋下自行車道路旁,無障礙,,25.035251,121.48996,2769771.52,299442.84
S69,萬華區,雙園河濱公園,華江橋下自行車道路旁,一般型,,25.035263,121.48999,2769772.86,299445.86
S70,萬華區,龍山河濱公園,貴陽疏散門前方自行車道旁,一般型,,25.041367,121.498321,2770452.04,300284.08
S71,萬華區,龍山河濱公園,貴陽疏散門前方自行車道旁,無障礙,,25.041417,121.498361,2770457.59,300288.1
S72,大同區,延平河濱公園,忠孝橋上游50公尺自行車道旁,一般型,,24.988412,121.539228,2764602.29,304435.3
S73,大同區,延平河濱公園,忠孝橋上游50公尺自行車道旁,無障礙,,25.05825,121.508278,2772325.82,301281.81
S74,大同區,延平河濱公園,忠孝橋上游50公尺自行車道旁,一般型,,25.049306,121.504778,2771333.82,300932.37
